Time,lat,lon,speed,LA,LZ,speed_range,LA_corrected,correction
2024-05-13 12:32:17,43.2724673333,-2.0092541667,17.926,80.61941811291732,96.39484709198163,"(10.37, 20.738]",83.49595435182258,1.5074526211815282
2024-05-13 12:32:19,43.272491,-2.0093195,25.887,81.77000834061103,91.14025480769914,"(20.738, 31.106]",82.59371515620401,0.6052134255629653
2024-05-13 12:32:20,43.2725528333,-2.0094755,26.896,81.818655248671,91.36845562283162,"(20.738, 31.106]",82.42876817282762,0.4402664421865694
2024-05-13 12:32:21,43.272583,-2.0095586667,27.113,81.66836323901813,89.77841041082378,"(20.738, 31.106]",82.23358769778758,0.24508596714653663
2024-05-13 12:32:22,43.2726133333,-2.0096435,27.454,82.86458824701887,94.3253986202953,"(20.738, 31.106]",83.35999448479608,1.3714927541550281
2024-05-13 12:32:23,43.2726441667,-2.0097296667,27.893,81.33658803451432,91.36479404679804,"(20.738, 31.106]",81.7433770023995,-0.2451247282415494
2024-05-13 12:32:25,43.2726748333,-2.009811,21.735,75.47324883155237,87.71536659214034,"(20.738, 31.106]",77.27350143205439,-4.715000298586659
2024-05-13 12:32:26,43.2727235,-2.0099305,16.01,72.0519412277666,86.05220241424624,"(10.37, 20.738]",75.55992282414655,-6.428578906494494
2024-05-13 12:32:27,43.27274,-2.0099646667,10.942,69.37611001238638,83.26132325509559,"(10.37, 20.738]",75.01018941340412,-6.978312317236927
2024-05-13 12:32:28,43.2727555,-2.0099875,8.726,70.44330621554639,83.39006374265388,"(-0.0385, 10.37]",77.34152889796911,-4.646972832671935
2024-05-13 12:32:29,43.2727763333,-2.010006,10.62,74.40759287966998,85.96148143845996,"(10.37, 20.738]",80.2085267874576,-1.779974943183447
2024-05-13 12:32:31,43.272804,-2.0100131667,11.984,77.74505975467447,88.66285363758502,"(10.37, 20.738]",82.87100595579071,0.8825042251496598
2024-05-13 12:32:32,43.2728811667,-2.009967,19.127,79.25147257926746,89.108439327517,"(10.37, 20.738]",81.76575696610664,-0.2227447645344114
2024-05-13 12:32:33,43.272927,-2.0099295,21.903,81.61481463247682,94.33997851914984,"(20.738, 31.106]",83.37205565131866,1.3835539206776133
2024-05-13 12:32:34,43.2729771667,-2.0098853333,24.584,82.80405331373939,93.70391434924522,"(20.738, 31.106]",83.91625483294806,1.9277531023070082
2024-05-13 12:32:35,43.2730296667,-2.0098325,26.292,80.52211920636606,91.98157841991296,"(20.738, 31.106]",81.25910850842314,-0.729393222217908
2024-05-13 12:32:37,43.27308,-2.009782,24.185,77.7940181184942,90.118139558932,"(20.738, 31.106]",78.99762623855244,-2.9908754920886054
2024-05-13 12:32:38,43.2731618333,-2.0096943333,19.006,76.04149345396809,89.51126495686312,"(10.37, 20.738]",78.59122852963282,-3.3972732010082325
2024-05-13 12:32:39,43.273191,-2.0096498333,16.819,73.31805619702963,88.86800522688193,"(10.37, 20.738]",76.55066715854379,-5.437834572097259
