,system_date,lat,lon,speed,LA,LZ
6014,2022-11-10 00:35:41.298983,40.5277783333,-3.6549486667,0.069,57.27,64.19
6015,2022-11-10 00:35:42.320050,40.5277783333,-3.6549485,0.077,52.01,67.48
6016,2022-11-10 00:35:43.333142,40.5277773333,-3.6549475,0.145,50.0,63.37
6017,2022-11-10 00:35:44.345732,40.5277765,-3.6549468333,0.02,49.56,63.77
6018,2022-11-10 00:35:45.358099,40.5277761667,-3.6549463333,0.075,56.95,70.95
6019,2022-11-10 00:35:46.370543,40.5277753333,-3.6549458333,0.128,53.73,65.8
6020,2022-11-10 00:35:47.382917,40.527775,-3.654945,0.198,58.21,66.21
6021,2022-11-10 00:35:48.395589,40.527774,-3.6549441667,0.366,51.81,73.86
6022,2022-11-10 00:35:49.407736,40.527773,-3.6549441667,0.49,54.74,74.99
6023,2022-11-10 00:35:50.420475,40.5277706667,-3.6549435,0.721,49.8,66.45
6024,2022-11-10 00:35:51.432366,40.5277695,-3.6549433333,0.451,51.33,65.6
6025,2022-11-10 00:35:52.444347,40.5277693333,-3.6549431667,0.206,49.89,65.21
6026,2022-11-10 00:35:53.456351,40.5277703333,-3.6549436667,0.061,50.29,63.36
6027,2022-11-10 00:35:54.468332,40.5277696667,-3.654944,0.054,50.01,64.33
6028,2022-11-10 00:35:55.480670,40.5277728333,-3.6549465,0.151,49.64,62.64
6029,2022-11-10 00:35:56.493390,40.5277728333,-3.6549461667,0.087,49.54,63.29
6030,2022-11-10 00:35:57.505548,40.5277728333,-3.6549463333,0.209,51.48,63.6
6031,2022-11-10 00:35:58.517405,40.5277726667,-3.6549463333,0.092,50.48,61.96
6032,2022-11-10 00:35:59.529547,40.527772,-3.6549458333,0.066,50.96,66.74
6033,2022-11-10 00:36:00.541639,40.5277725,-3.6549461667,0.021,50.09,64.6
6034,2022-11-10 00:36:01.557584,40.5277716667,-3.6549465,0.198,50.44,64.17
6035,2022-11-10 00:36:02.580279,40.5277713333,-3.6549468333,0.016,49.41,62.82
6036,2022-11-10 00:36:03.592328,40.5277715,-3.654947,0.098,50.65,63.68
6037,2022-11-10 00:36:04.604679,40.5277715,-3.6549473333,0.077,49.35,63.84
6038,2022-11-10 00:36:05.616721,40.5277718333,-3.6549536667,0.079,51.26,63.47
6039,2022-11-10 00:36:06.628819,40.5277706667,-3.6549543333,0.122,49.01,63.09
6040,2022-11-10 00:36:07.641356,40.5277683333,-3.6549531667,0.434,48.88,63.25
6041,2022-11-10 00:36:08.653743,40.5277663333,-3.654953,1.065,50.44,62.08
6042,2022-11-10 00:36:09.665716,40.5277663333,-3.6549538333,0.379,51.12,61.74
6043,2022-11-10 00:36:10.677857,40.5277661667,-3.6549543333,0.406,50.04,63.11
6044,2022-11-10 00:36:11.689847,40.5277641667,-3.6549531667,0.931,50.0,62.34
6045,2022-11-10 00:36:12.701759,40.5277648333,-3.6549526667,1.062,48.74,61.48
6046,2022-11-10 00:36:13.713789,40.5277661667,-3.654953,1.014,49.57,62.07
6047,2022-11-10 00:36:14.725920,40.5277641667,-3.6549506667,1.317,50.59,62.94
6048,2022-11-10 00:36:15.738446,40.5277641667,-3.6549478333,0.484,48.78,61.04
6049,2022-11-10 00:36:16.750577,40.527764,-3.6549458333,1.127,49.2,62.59
6050,2022-11-10 00:36:17.762645,40.5277631667,-3.6549443333,1.118,49.35,62.09
6051,2022-11-10 00:36:18.774739,40.5277623333,-3.6549426667,1.168,49.24,62.55
6052,2022-11-10 00:36:19.787514,40.5277641667,-3.6549418333,0.627,49.07,62.41
6053,2022-11-10 00:36:20.799655,40.5277631667,-3.6549403333,0.586,48.55,62.77
6054,2022-11-10 00:36:21.821898,40.5277635,-3.6549393333,0.692,50.04,63.63
6055,2022-11-10 00:36:22.834453,40.5277653333,-3.6549391667,0.383,49.93,62.56
6056,2022-11-10 00:36:23.846525,40.5277648333,-3.654937,0.178,49.76,61.98
6057,2022-11-10 00:36:24.858686,40.5277645,-3.6549345,0.372,48.88,63.56
6058,2022-11-10 00:36:25.870813,40.527764,-3.6549328333,0.255,48.62,62.54
6059,2022-11-10 00:36:26.884220,40.5277596667,-3.6549295,1.058,49.17,62.72
6060,2022-11-10 00:36:27.896379,40.5277565,-3.6549266667,0.846,49.86,63.12
6061,2022-11-10 00:36:28.908392,40.5277541667,-3.654924,0.585,49.56,64.27
6062,2022-11-10 00:36:29.920298,40.5277521667,-3.6549216667,0.886,49.92,63.93
6063,2022-11-10 00:36:30.932784,40.5277511667,-3.6549196667,1.048,49.65,64.3
6064,2022-11-10 00:36:31.945491,40.5277515,-3.6549191667,0.918,51.1,63.5
6065,2022-11-10 00:36:32.957441,40.5277496667,-3.6549176667,0.746,48.88,64.73
6066,2022-11-10 00:36:33.969886,40.5277478333,-3.654916,0.706,49.29,62.86
6067,2022-11-10 00:36:34.982229,40.5277478333,-3.6549146667,0.647,49.13,63.11
6068,2022-11-10 00:36:35.994402,40.5277445,-3.6549121667,0.459,48.8,61.7
6069,2022-11-10 00:36:37.007222,40.527744,-3.6549106667,0.208,48.62,63.33
6070,2022-11-10 00:36:38.016936,40.5277426667,-3.654909,0.0,49.73,63.3
6071,2022-11-10 00:36:39.025937,40.5277398333,-3.6549068333,0.0,50.43,63.37
6072,2022-11-10 00:36:40.038487,40.5277391667,-3.6549045,0.412,50.39,62.27
6073,2022-11-10 00:36:41.045188,0.0,0.0,0.268,50.17,62.17
6074,2022-11-10 00:36:42.051417,0.0,0.0,0.108,48.71,63.45
6075,2022-11-10 00:36:43.067093,0.0,0.0,0.294,49.05,64.5
6076,2022-11-10 00:36:44.073724,0.0,0.0,0.297,49.94,63.47
6077,2022-11-10 00:36:45.080110,0.0,0.0,0.194,50.37,64.19
