Time,lat,lon,speed,LA,LZ
2024-05-23 17:09:25,43.315259,-1.9018348333,4.95,75.14231599526333,91.47020856484745
2024-05-23 17:09:26,43.3152775,-1.9018305,2.455,79.48724576352309,92.15005552313413
2024-05-23 17:09:28,43.3153078333,-1.9018238333,5.739,77.3141257454078,90.64427730893145
2024-05-23 17:09:29,43.3153363333,-1.9018173333,8.559,77.67017321462087,91.68164034578797
2024-05-23 17:09:30,43.3153711667,-1.901816,11.133,80.4415184420989,100.23491800688666
2024-05-23 17:09:31,43.3153771667,-1.9018296667,4.65,78.89224447206468,100.58942616168976
2024-05-23 17:09:32,43.3154121667,-1.9018245,8.474,75.66624255084137,89.61685719236502
2024-05-23 17:09:34,43.3154778333,-1.9018105,6.857,74.8595042707739,91.1740662984736
2024-05-23 17:09:35,43.315505,-1.9018073333,8.69,74.03322046882275,89.25551313090463
2024-05-23 17:09:36,43.3155488333,-1.9017918333,11.033,73.41218837088417,89.24740996244424
2024-05-23 17:09:37,43.3155935,-1.9017896667,13.111,72.7306159054067,88.99502455245278
2024-05-23 17:09:38,43.3156335,-1.901799,12.875,74.2833447018768,90.73129518650434
2024-05-23 17:09:40,43.3156918333,-1.9018246667,11.713,75.73654509409963,91.47096761521304
2024-05-23 17:09:41,43.3156996667,-1.9018361667,7.885,75.52900458354749,91.09998797972295
2024-05-23 17:09:42,43.3157111667,-1.9018453333,6.02,76.09461438602891,90.19387328853291
2024-05-23 17:09:43,43.3157273333,-1.9018773333,7.379,77.77004856117019,94.90896066284509
2024-05-23 17:09:44,43.315751,-1.9019203333,10.062,75.19820419843724,87.94997122506717
2024-05-23 17:09:45,43.3157733333,-1.9019833333,8.993,76.15521082540367,92.24151497672662
2024-05-23 17:09:46,43.3157831667,-1.9020228333,9.906,76.49888820178882,88.61059175418347
2024-05-23 17:09:48,43.3157973333,-1.90207,11.511,78.33238266086684,90.5146549805425
2024-05-23 17:09:49,43.3158113333,-1.9021118333,11.811,79.8160720435518,98.10425261936814
2024-05-23 17:09:50,43.3158243333,-1.9021566667,12.237,76.94186232117113,90.24890469203243
2024-05-23 17:09:51,43.3158355,-1.9021898333,11.07,83.61405900161441,101.1752808934663
2024-05-23 17:09:52,43.3158675,-1.9022436667,9.104,76.99530417786886,93.37663567236844
2024-05-23 17:09:53,43.3158798333,-1.9022775,9.078,77.31552558590732,92.30232692512632
2024-05-23 17:09:55,43.3159021667,-1.9023156667,10.003,77.38614851163315,99.32776209653655
2024-05-23 17:09:56,43.3159211667,-1.9023653333,11.328,77.81964657716357,94.79090753967776
2024-05-23 17:09:57,43.315948,-1.9024041667,11.921,74.92941238713128,89.78324092033654
2024-05-23 17:09:58,43.315975,-1.9024251667,10.483,75.55608895073361,94.88463237005242
2024-05-23 17:09:59,43.3159925,-1.902453,9.7,76.66464637454663,92.74706762236144
2024-05-23 17:10:01,43.3160145,-1.9025371667,10.137,75.23055499345043,90.14722284970917
2024-05-23 17:10:02,43.3160253333,-1.9025771667,9.653,74.223245856465,89.96771808787764
2024-05-23 17:10:03,43.3160303333,-1.902597,7.129,73.44949031061944,89.5344527851409
2024-05-23 17:10:04,43.3160383333,-1.9026273333,6.933,73.46690977320945,90.04010235832865
