index,Value,Tag
2022-09-01 16:15:00,65.66,BI-RUI-C009LD
2022-09-01 16:30:00,67.34,BI-RUI-C009LD
2022-09-01 16:45:00,61.21,BI-RUI-C009LD
2022-09-01 17:00:00,58.13,BI-RUI-C009LD
2022-09-01 17:15:00,60.15,BI-RUI-C009LD
2022-09-01 17:30:00,62.07,BI-RUI-C009LD
2022-09-01 17:45:00,61.38,BI-RUI-C009LD
2022-09-01 18:00:00,61.88,BI-RUI-C009LD
2022-09-01 18:15:00,61.0,BI-RUI-C009LD
2022-09-01 18:30:00,66.04,BI-RUI-C009LD
2022-09-01 18:45:00,63.08,BI-RUI-C009LD
2022-09-01 19:00:00,65.54,BI-RUI-C009LD
2022-09-01 19:15:00,65.05,BI-RUI-C009LD
2022-09-01 19:30:00,68.63,BI-RUI-C009LD
2022-09-01 19:45:00,68.97,BI-RUI-C009LD
2022-09-01 20:00:00,72.52,BI-RUI-C009LD
2022-09-01 20:15:00,75.39,BI-RUI-C009LD
2022-09-01 20:30:00,76.5,BI-RUI-C009LD
2022-09-01 20:45:00,75.94,BI-RUI-C009LD
2022-09-01 21:00:00,76.64,BI-RUI-C009LD
2022-09-01 21:15:00,76.82,BI-RUI-C009LD
2022-09-01 21:30:00,76.74,BI-RUI-C009LD
2022-09-01 21:45:00,75.78,BI-RUI-C009LD
2022-09-01 22:00:00,75.71,BI-RUI-C009LD
2022-09-01 22:15:00,74.73,BI-RUI-C009LD
2022-09-01 22:30:00,72.64,BI-RUI-C009LD
2022-09-01 22:45:00,71.19,BI-RUI-C009LD
2022-09-01 23:00:00,70.83,BI-RUI-C009LD
2022-09-01 23:15:00,72.25,BI-RUI-C009LD
2022-09-01 23:30:00,69.09,BI-RUI-C009LD
2022-09-01 23:45:00,66.0,BI-RUI-C009LD
2022-09-02 00:00:00,67.93,BI-RUI-C009LD
2022-09-02 00:15:00,69.97,BI-RUI-C009LD
2022-09-02 00:30:00,69.55,BI-RUI-C009LD
2022-09-02 00:45:00,57.95,BI-RUI-C009LD
2022-09-02 01:00:00,56.94,BI-RUI-C009LD
2022-09-02 01:15:00,50.66,BI-RUI-C009LD
2022-09-02 01:30:00,61.66,BI-RUI-C009LD
2022-09-02 01:45:00,52.19,BI-RUI-C009LD
2022-09-02 02:00:00,50.02,BI-RUI-C009LD
2022-09-02 02:15:00,61.44,BI-RUI-C009LD
2022-09-02 02:30:00,53.4,BI-RUI-C009LD
2022-09-02 02:45:00,47.24,BI-RUI-C009LD
2022-09-02 03:00:00,59.02,BI-RUI-C009LD
2022-09-02 03:15:00,48.89,BI-RUI-C009LD
2022-09-02 03:30:00,66.05,BI-RUI-C009LD
2022-09-02 03:45:00,56.33,BI-RUI-C009LD
2022-09-02 04:00:00,51.58,BI-RUI-C009LD
2022-09-02 04:15:00,46.21,BI-RUI-C009LD
2022-09-02 04:30:00,40.09,BI-RUI-C009LD
2022-09-02 04:45:00,41.7,BI-RUI-C009LD
2022-09-02 05:00:00,43.84,BI-RUI-C009LD
2022-09-02 05:15:00,41.7,BI-RUI-C009LD
2022-09-02 05:30:00,44.81,BI-RUI-C009LD
2022-09-02 05:45:00,41.53,BI-RUI-C009LD
2022-09-02 06:00:00,49.5,BI-RUI-C009LD
2022-09-02 06:15:00,41.39,BI-RUI-C009LD
2022-09-02 06:30:00,41.7,BI-RUI-C009LD
2022-09-02 06:45:00,41.7,BI-RUI-C009LD
2022-09-02 07:00:00,43.78,BI-RUI-C009LD
2022-09-02 07:15:00,46.47,BI-RUI-C009LD
2022-09-02 07:30:00,46.26,BI-RUI-C009LD
2022-09-02 07:45:00,,BI-RUI-C009LD
2022-09-02 08:00:00,46.74,BI-RUI-C009LD
